ID,copiesPerL,Station,Size_Class,Depth,Bin_Size,DNAperLiter,MassperLiter,ParticlesPerLiter,Flag
3-1-S-0-2,780848295.6023941,3.1,0.2,Surface,1,3690.476190476191,NA,NA,FALSE
3-1-S-1-2,1479243264.1972666,3.1,1.2,Surface,3.8,3478.72340425532,6.339999999999986,2665036540.7266245,FALSE
3-1-S-5,7224581.3308062,3.1,5,Surface,15,15.128342245989304,2.9718787878787825,76085337.18657437,FALSE
3-1-S-20,102069.01111779796,3.1,20,Surface,33,0.7870312499999998,0.5608406250000004,1393951.911792906,FALSE
3-1-S-180,9303990.079810765,3.1,180,Surface,320,30.44155844155844,0.06857142857142821,6838.999519859784,FALSE
3-1-B-0-2,507423092.2892529,3.1,0.2,Bottom,1,3037.5,NA,NA,FALSE
3-1-B-1-2,1275712097.187123,3.1,1.2,Bottom,3.8,4791.666666666667,18.499999999999996,12051054000.283236,FALSE
3-1-B-5,103147465.52025832,3.1,5,Bottom,15,2191.621621621621,36.18518918918916,404577993.2479047,FALSE
3-1-B-20,41109084.32100352,3.1,20,Bottom,33,168.10267857142858,12.350925000000002,8675915.822146215,FALSE
3-1-B-53,12651389.05448909,3.1,53,Bottom,127,203.99999999999997,2.786142857142857,1287664.5504342762,FALSE
3-1-B-180,4984516.856466344,3.1,180,Bottom,320,79.61904761904762,0.5001142857142863,54628.34656960949,FALSE
3-1-B-500,270707.9957079957,3.1,500,Bottom,500,11.007936507936508,0.2822857142857147,2812.674626975989,FALSE
3-2-S-0-2,1673169851.1441896,3.2,0.2,Surface,1,3624.999999999999,NA,NA,FALSE
3-2-S-1-2,2275432211.3327494,3.2,1.2,Surface,3.8,4338.235294117647,13.469999999999978,1751184793.6175833,FALSE
3-2-S-5,412475001.8578796,3.2,5,Surface,15,1451.9195612431442,8.515016975711692,78682115.18375617,FALSE
3-2-S-20,28898614.82701643,3.2,20,Surface,33,128.94230769230768,0.3802153846153849,2239419.940448375,FALSE
3-2-S-53,22691842.419170506,3.2,53,Surface,127,161.92307692307693,0.34461538461538416,405558.7999226507,FALSE
3-2-S-180,1410701.0398654186,3.2,180,Surface,320,6.742603550295858,0.19446923076923017,22085.32353119902,FALSE
3-2-S-500,469407.88157631527,3.2,500,Surface,500,2.16,0.2490000000000002,1400.917311506142,FALSE
3-2-B-0-2,1228909776.2442758,3.2,0.2,Bottom,1,4647.058823529412,NA,NA,FALSE
3-2-B-1-2,3326719210.458653,3.2,1.2,Bottom,3.8,10419.354838709674,18.37619047619048,2852537419.5187325,FALSE
3-2-B-5,519917371.8032963,3.2,5,Bottom,15,2256.410256410256,12.274871794871794,126522116.24009936,FALSE
3-2-B-20,34034731.55806025,3.2,20,Bottom,33,153.61309523809524,1.8550535714285712,3556128.5486400328,FALSE
3-2-B-53,22458584.37241007,3.2,53,Bottom,127,178.28571428571428,0.5324571428571425,638359.6942055683,FALSE
3-2-B-180,17744494.752411373,3.2,180,Bottom,320,165.98214285714286,0.42491428571428574,34380.326109633694,FALSE
3-2-B-500,3079036.5474046227,3.2,500,Bottom,500,17.528361344537814,0.4158095238095243,2160.7442376247272,FALSE
3-3-S-20,67497129.51969779,3.3,20,Surface,33,141.08823529411762,0.5234218487394956,1096903.2627314955,FALSE
3-3-S-53,42602504.39322681,3.3,53,Surface,127,183.94117647058823,0.43257352941176447,134081.75768850488,FALSE
3-3-S-180,6134666.172670619,3.3,180,Surface,320,35.44117647058823,0.3594705882352945,4459.038902006513,FALSE
3-3-S-500,10402253.066699294,3.3,500,Surface,500,47.352941176470594,0.4037647058823532,187.31988337137665,FALSE
3-3-B-0-2,1001060779.8165138,3.3,0.2,Bottom,1,1839.2857142857144,NA,NA,FALSE
3-3-B-1-2,1694416422.2873898,3.3,1.2,Bottom,3.8,6548.387096774192,17.252380952380953,1255963881.411833,FALSE
