ID,copiesPerL,Station,Size_Class,Depth,Bin_Size,DNAperLiter,MassperLiter,ParticlesPerLiter,Flag
3-1-S-0-2,768862116.2510846,3.1,0.2,Surface,1,3690.476190476191,NA,NA,FALSE
3-1-S-1-2,1467958411.2046444,3.1,1.2,Surface,3.8,3478.72340425532,6.339999999999986,2665036540.7266245,FALSE
3-1-S-5,7229262.393104537,3.1,5,Surface,15,15.128342245989304,2.9718787878787825,76085337.18657437,FALSE
3-1-S-20,101997.83457477123,3.1,20,Surface,33,0.7870312499999998,0.5608406250000004,1393951.911792906,FALSE
3-1-S-180,9282728.246610029,3.1,180,Surface,320,30.44155844155844,0.06857142857142821,6838.999519859784,FALSE
3-1-B-0-2,496899558.2293655,3.1,0.2,Bottom,1,3037.5,NA,NA,FALSE
3-1-B-1-2,1267028384.423645,3.1,1.2,Bottom,3.8,4791.666666666667,18.499999999999996,12051054000.283236,FALSE
3-1-B-5,103298335.65073131,3.1,5,Bottom,15,2191.621621621621,36.18518918918916,404577993.2479047,FALSE
3-1-B-20,41097709.36684719,3.1,20,Bottom,33,168.10267857142858,12.350925000000002,8675915.822146215,FALSE
3-1-B-53,12651489.954247063,3.1,53,Bottom,127,203.99999999999997,2.786142857142857,1287664.5504342762,FALSE
3-1-B-180,4993889.648882809,3.1,180,Bottom,320,79.61904761904762,0.5001142857142863,54628.34656960949,FALSE
3-1-B-500,275839.90083990083,3.1,500,Bottom,500,11.007936507936508,0.2822857142857147,2812.674626975989,FALSE
3-2-S-0-2,1642565540.9908903,3.2,0.2,Surface,1,3624.999999999999,NA,NA,FALSE
3-2-S-1-2,2266348777.30947,3.2,1.2,Surface,3.8,4338.235294117647,13.469999999999978,1751184793.6175833,FALSE
3-2-S-5,411603438.2543771,3.2,5,Surface,15,1451.9195612431442,8.515016975711692,78682115.18375617,FALSE
3-2-S-20,28922994.37934794,3.2,20,Surface,33,128.94230769230768,0.3802153846153849,2239419.940448375,FALSE
3-2-S-53,22691842.419170506,3.2,53,Surface,127,161.92307692307693,0.34461538461538416,405558.7999226507,FALSE
3-2-S-180,1413071.8601294593,3.2,180,Surface,320,6.742603550295858,0.19446923076923017,22085.32353119902,FALSE
3-2-S-500,469443.60000000003,3.2,500,Surface,500,2.16,0.2490000000000002,1400.917311506142,FALSE
3-2-B-0-2,1221751609.2178226,3.2,0.2,Bottom,1,4647.058823529412,NA,NA,FALSE
3-2-B-1-2,3314204225.2824917,3.2,1.2,Bottom,3.8,10419.354838709674,18.37619047619048,2852537419.5187325,FALSE
3-2-B-5,518845285.6018113,3.2,5,Bottom,15,2256.410256410256,12.274871794871794,126522116.24009936,FALSE
3-2-B-20,34098985.1604925,3.2,20,Bottom,33,153.61309523809524,1.8550535714285712,3556128.5486400328,FALSE
3-2-B-53,22378989.131345868,3.2,53,Bottom,127,178.28571428571428,0.5324571428571425,638359.6942055683,FALSE
3-2-B-180,17743706.822616685,3.2,180,Bottom,320,165.98214285714286,0.42491428571428574,34380.326109633694,FALSE
3-2-B-500,3081186.104969805,3.2,500,Bottom,500,17.528361344537814,0.4158095238095243,2160.7442376247272,FALSE
3-3-S-20,67403073.86112338,3.3,20,Surface,33,141.08823529411762,0.5234218487394956,1096903.2627314955,FALSE
3-3-S-53,42597238.346257955,3.3,53,Surface,127,183.94117647058823,0.43257352941176447,134081.75768850488,FALSE
3-3-S-180,6144331.042845594,3.3,180,Surface,320,35.44117647058823,0.3594705882352945,4459.038902006513,FALSE
3-3-S-500,10405459.432752063,3.3,500,Surface,500,47.352941176470594,0.4037647058823532,187.31988337137665,FALSE
3-3-B-0-2,999923696.1776395,3.3,0.2,Oxycline,1,1839.2857142857144,NA,NA,FALSE
3-3-B-1-2,1687200697.290456,3.3,1.2,Oxycline,3.8,6548.387096774192,17.252380952380953,1255963881.411833,FALSE
3-3-B-5,621054682.0648394,3.3,5,Oxycline,15,2400.0000000000005,11.687225806451613,53317319.60631873,FALSE
3-3-B-20,73998521.76191013,3.3,20,Oxycline,33,276.11111111111114,2.6403999999999996,1436084.9013330543,FALSE
3-3-B-53,38728236.01763713,3.3,53,Oxycline,127,522.4197530864197,2.219933333333333,250186.14662723453,FALSE
3-3-B-180,12442058.421765301,3.3,180,Oxycline,320,88.43033509700177,0.7627724867724869,12977.532459906426,FALSE
3-3-B-500,8306620.465334546,3.3,500,Oxycline,500,39.79506172839506,1.330417283950617,790.40963258560555,FALSE
4-3-S-0-2,16250971.035401177,4.3,0.2,Surface,1,6875,NA,NA,FALSE
4-3-S-20,75791952.89786732,4.3,20,Surface,33,160.03846153846155,0.7980865384615388,713402.1866344821,FALSE
4-3-S-53,51829008.61943166,4.3,53,Surface,127,205.96153846153845,0.6313846153846157,92033.12064412948,FALSE
4-3-S-180,33048813.715493634,4.3,180,Surface,320,114.38282647584974,0.613746153846154,3274.789606277268,FALSE
4-3-S-500,11624307.526618352,4.3,500,Surface,500,30.33119658119658,0.7495141700404855,145.56785387158584,FALSE
4-3-O-1-2,1133789512.896016,4.3,1.2,Oxycline,3.8,3345.0704225352115,24.01666666666667,1278792133.3252194,FALSE
4-3-O-5,152201817.38615596,4.3,5,Oxycline,15,534.1666666666667,19.99000000000001,36050243.80296027,FALSE
4-3-O-53,19314809.240634676,4.3,53,Oxycline,127,116.17142857142856,1.3101079999999992,85940.91129395743,FALSE
4-3-O-180,8797346.568895223,4.3,180,Oxycline,320,42.15483870967742,1.09728,3139.1743112082067,FALSE
4-3-O-500,23518327.496679142,4.3,500,Oxycline,500,117.3153846153846,1.2170499999999995,142.62754548525777,FALSE
4-3-B-0-2,697777579.1995976,4.3,0.2,Bottom,1,1589.2857142857142,NA,NA,FALSE
4-3-B-1-2,1663465654.2017107,4.3,1.2,Bottom,3.8,3813.559322033898,13.194999999999997,252054965.52526227,FALSE
4-3-B-5,85862472.25861369,4.3,5,Bottom,15,426.5767725097869,9.8,11040303.532043412,FALSE
4-3-B-20,12552474.398569876,4.3,20,Bottom,33,47.35023041474655,0.49253225806451567,306548.0463183734,FALSE
4-3-B-53,6331999.277804526,4.3,53,Bottom,127,16.75907258064516,0.6044086021505378,54558.85823066413,FALSE
4-3-B-180,3858104.804373106,4.3,180,Bottom,320,6.61439205955335,0.7391435483870966,2906.974009329737,FALSE
4-3-B-500,2485469.087425006,4.3,500,Bottom,500,11.77047146401985,0.5830000000000001,181.06454546374857,FALSE
5-1-S-1-2,4313153816.350252,5.1,1.2,Surface,3.8,20000,11.451428571428558,877191459.674279,FALSE
5-1-S-5,254299898.8699819,5.1,5,Surface,15,1677.1825396825393,7.020105820105822,33670394.71778182,FALSE
5-1-S-20,8617332.60058427,5.1,20,Surface,33,72.4891774891775,0.4534621212121208,822382.3043315957,FALSE
5-1-S-53,30503832.51761318,5.1,53,Surface,127,180.5555555555556,0.4494285714285712,133748.59272915902,FALSE
5-1-S-180,9590921.11837669,5.1,180,Surface,320,49.34889434889435,0.4600945945945946,6364.241299307818,FALSE
5-1-S-500,12204365.960560212,5.1,500,Surface,500,73.95577395577395,1.2444432432432428,360.6582134229684,FALSE
C_5P1B_0P2,1124669259.6566525,5.1,0.2,Bottom,1,2962.5,NA,NA,FALSE
C_5P1B_1P2,2285268029.30968,5.1,1.2,Bottom,3.8,5500,21.09,505516222.5652967,FALSE
C_5P1B_20,24805934.185901437,5.1,20,Bottom,33,82.33333333333334,1.1185571428571428,586319.4884757549,FALSE
C_5P1B_53,5360937.633089727,5.1,53,Bottom,127,33.91666666666667,0.5403156249999997,102651.15629558737,FALSE
C_5P1B_180,1253735.3401727863,5.1,180,Bottom,320,5.53875,0.5375999999999999,5357.787855506356,FALSE
C_5P1B_500,1114454.6403556035,5.1,500,Bottom,500,4.306640625,0.2211,328.0165093397,FALSE
5-5-S-5,435338833.8037682,5.5,5,Surface,15,1429.1666666666663,6.30352941176471,42749000.93629748,FALSE
5-5-S-53,30487815.510702297,5.5,53,Surface,127,171.0344827586207,0.7429488703923901,215729.19054097572,FALSE
5-5-S-180,19493941.44421208,5.5,180,Surface,320,121.69117647058822,0.4061666666666669,11619.753531613916,FALSE
5-5-S-500,3036790.835107327,5.5,500,Surface,500,9.825555555555557,0.46849047619047657,730.342560879061,FALSE
5-5-B-0-2,22928764887.669712,5.5,0.2,Bottom,1,4354.8387096774195,NA,NA,FALSE
5-5-B-5,70453013.72939593,5.5,5,Bottom,15,210.80246913580245,6.135000000000001,21043419.722688217,FALSE
5-5-B-53,25411472.099202834,5.5,53,Bottom,127,129.6,1.2011999999999996,128012.1477484509,FALSE
5-5-B-180,4775624.493365759,5.5,180,Bottom,320,11.687500000000002,0.9568875,7595.686525473253,FALSE
5-5-B-500,1667721.1948932777,5.5,500,Bottom,500,7.182500000000001,1.39468,517.6246323898116,FALSE
