ID,copiesPerL,Station,Size_Class,Depth,Bin_Size,DNAperLiter,MassperLiter,ParticlesPerLiter,Flag,δ13CVPDB (‰),δ15NAir (‰),CarbonPerLiter_mg,NitrogenPerLiter_mg,Depth_m,Temperature,Salinity,Oxygen,Fluorescence,PAR,pH,lat,long,UTMX,UTMY,depth,do,Depth2
3-1-S-0-2,768862116.2510846,3.1,0.2,Surface,1,3690.476190476191,NA,NA,FALSE,NA,NA,NA,NA,3,28.887097959183674,1.3094204081632652,3.9045489795918367,1.9880367346938776,8.566644897959184,7.918183673469388,39.2495,-76.2405,392959,4345197,13.3,85,Surface
3-1-S-1-2,1467958411.2046444,3.1,1.2,Surface,3.8,3478.72340425532,6.339999999999986,2665036540.7266245,FALSE,-28.360214191519763,10.029591998174624,1.1573693924532555,0.15589039718931547,3,28.887097959183674,1.3094204081632652,3.9045489795918367,1.9880367346938776,8.566644897959184,7.918183673469388,39.2495,-76.2405,392959,4345197,13.3,85,Surface
3-1-S-5,7229262.393104537,3.1,5,Surface,15,15.128342245989304,2.9718787878787825,76085337.18657437,FALSE,-27.219829349938927,17.127890952134646,0.8663776126632312,0.054890961629234784,3,28.887097959183674,1.3094204081632652,3.9045489795918367,1.9880367346938776,8.566644897959184,7.918183673469388,39.2495,-76.2405,392959,4345197,13.3,85,Surface
3-1-S-20,101997.83457477123,3.1,20,Surface,33,0.7870312499999998,0.5608406250000004,1393951.911792906,FALSE,-26.557312483062137,22.01444239284455,0.07948501314055822,0.009439897206942067,3,28.887097959183674,1.3094204081632652,3.9045489795918367,1.9880367346938776,8.566644897959184,7.918183673469388,39.2495,-76.2405,392959,4345197,13.3,85,Surface
3-1-S-180,9282728.246610029,3.1,180,Surface,320,30.44155844155844,0.06857142857142821,6838.999519859784,FALSE,-28.779663966317862,15.254422859455245,0.012784914263102224,0.0012369747689187952,3,28.887097959183674,1.3094204081632652,3.9045489795918367,1.9880367346938776,8.566644897959184,7.918183673469388,39.2495,-76.2405,392959,4345197,13.3,85,Surface
3-1-B-0-2,496899558.2293655,3.1,0.2,Bottom,1,3037.5,NA,NA,FALSE,NA,NA,NA,NA,7,28.674955555555556,2.5955644444444443,4.307257777777778,1.9354066666666667,0.02845995555555555,7.657844444444445,39.2495,-76.2405,392959,4345197,13.3,85,NotSurface
3-1-B-1-2,1267028384.423645,3.1,1.2,Bottom,3.8,4791.666666666667,18.499999999999996,12051054000.283236,FALSE,-30.40635830759307,8.7066838552216,1.0546117728896653,0.13564261413865047,7,28.674955555555556,2.5955644444444443,4.307257777777778,1.9354066666666667,0.02845995555555555,7.657844444444445,39.2495,-76.2405,392959,4345197,13.3,85,NotSurface
3-1-B-5,103298335.65073131,3.1,5,Bottom,15,2191.621621621621,36.18518918918916,404577993.2479047,FALSE,-29.23061066685861,9.757523491702399,1.59459780528426,0.16637632646509068,7,28.674955555555556,2.5955644444444443,4.307257777777778,1.9354066666666667,0.02845995555555555,7.657844444444445,39.2495,-76.2405,392959,4345197,13.3,85,NotSurface
3-1-B-20,41097709.36684719,3.1,20,Bottom,33,168.10267857142858,12.350925000000002,8675915.822146215,FALSE,-29.6723224979898,7.648691758803499,0.4637692426110636,0.04304487639021441,7,28.674955555555556,2.5955644444444443,4.307257777777778,1.9354066666666667,0.02845995555555555,7.657844444444445,39.2495,-76.2405,392959,4345197,13.3,85,NotSurface
3-1-B-53,12651489.954247063,3.1,53,Bottom,127,203.99999999999997,2.786142857142857,1287664.5504342762,FALSE,-28.947038147456485,9.519603963858222,0.3829516999025594,0.03268851814569677,7,28.674955555555556,2.5955644444444443,4.307257777777778,1.9354066666666667,0.02845995555555555,7.657844444444445,39.2495,-76.2405,392959,4345197,13.3,85,NotSurface
3-1-B-180,4993889.648882809,3.1,180,Bottom,320,79.61904761904762,0.5001142857142863,54628.34656960949,FALSE,-27.434482094864503,11.420047946225242,0.06813706281800572,0.010719587781322324,7,28.674955555555556,2.5955644444444443,4.307257777777778,1.9354066666666667,0.02845995555555555,7.657844444444445,39.2495,-76.2405,392959,4345197,13.3,85,NotSurface
3-1-B-500,275839.90083990083,3.1,500,Bottom,500,11.007936507936508,0.2822857142857147,2812.674626975989,FALSE,-28.721420019059423,14.59036145690199,0.024727649518088327,0.0022201681614984615,7,28.674955555555556,2.5955644444444443,4.307257777777778,1.9354066666666667,0.02845995555555555,7.657844444444445,39.2495,-76.2405,392959,4345197,13.3,85,NotSurface
